Year,Accepted_Penalty_Count,Penalty_Yards,Team_Penalty_Count,Team_Penalty_Yards,wins,losses,win_loss_perc,points,points_opp,points_diff,g,total_yards,plays_offense,yds_per_play_offense,turnovers,fumbles_lost,first_down,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_net_yds_per_att,pass_fd,rush_att,rush_yds,rush_td,rush_yds_per_att,rush_fd,score_pct,turnover_pct,exp_pts_tot,Superbowl Champion,Pass_yds_per_att,Rush_yds_per_att,total_tds,total_fds,Team_Atlanta Falcons,Team_Baltimore Ravens,Team_Buffalo Bills,Team_Carolina Panthers,Team_Chicago Bears,Team_Cincinnati Bengals,Team_Cleveland Browns,Team_Dallas Cowboys,Team_Denver Broncos,Team_Detroit Lions,Team_Green Bay Packers,Team_Houston Texans,Team_Indianapolis Colts,Team_Jacksonville Jaguars,Team_Kansas City Chiefs,Team_Las Vegas Raiders,Team_Los Angeles Chargers,Team_Los Angeles Rams,Team_Miami Dolphins,Team_Minnesota Vikings,Team_New England Patriots,Team_New Orleans Saints,Team_New York Giants,Team_New York Jets,Team_Philadelphia Eagles,Team_Pittsburgh Steelers,Team_San Francisco 49ers,Team_Seattle Seahawks,Team_Tampa Bay Buccaneers,Team_Tennessee Titans,Team_Washington Commanders
2003,204.9039266827752,1720.0403908313851,100.57905031060776,813.4383351245798,4,12,0.25,225,452,-227,16,4490,981,4.6,36,14,256,303,534,2959,18,22,5.1,147,403,1531,5,3.8,80,22.2,18.4,-250.75,0.0,5.5411985018726595,3.7990074441687347,23,227,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2004,200.7227044587292,1841.097106652354,89.26760136932346,781.5574590151971,6,10,0.375,284,322,-38,16,4550,1047,4.3,29,11,280,299,533,2882,14,18,5.0,152,475,1668,15,3.5,86,25.5,13.5,-202.74,0.0,5.407129455909944,3.511578947368421,29,238,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2005,208.16165772238023,1728.5643737567746,102.86066692618498,812.5591776743595,5,11,0.313,311,387,-76,16,5575,1075,5.2,37,16,304,419,670,4437,21,21,6.2,224,360,1138,2,3.2,58,34.0,18.0,-175.55,0.0,6.622388059701493,3.161111111111111,23,282,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2006,210.82592992147835,1712.6359188599959,109.30405717343585,847.7251246012852,5,11,0.313,314,389,-75,16,5000,999,5.0,30,13,298,322,545,3662,17,17,6.3,187,419,1338,12,3.2,84,32.2,15.3,-95.61,0.0,6.719266055045871,3.1933174224343674,29,271,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2007,200.93558740526635,1683.340170357625,98.46371457429643,766.1930655032496,8,8,0.5,404,399,5,16,5505,1016,5.4,36,12,308,356,590,4065,32,24,6.6,210,402,1440,9,3.6,70,32.0,18.3,-176.41,0.0,6.889830508474576,3.582089552238806,41,280,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2008,200.95663010973038,1735.8907076599992,100.98288787776026,938.3470968190634,9,7,0.563,427,426,1,16,5852,998,5.9,30,15,328,418,630,4674,31,15,7.1,231,340,1178,14,3.5,72,39.3,15.7,-42.91,0.0,7.419047619047619,3.4647058823529413,45,303,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009,212.0,1726.0,108.0,886.0,10,6,0.625,375,325,50,16,5510,985,5.6,36,18,317,392,594,4016,27,18,6.5,215,365,1494,16,4.1,77,30.7,17.1,-116.0,0.0,6.760942760942761,4.093150684931507,43,292,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2010,216.0,1764.0,108.0,870.0,5,11,0.313,289,434,-145,16,4309,931,4.6,35,16,241,285,561,2921,10,19,4.8,154,320,1388,9,4.3,67,23.7,15.8,-215.39,0.0,5.206773618538325,4.3375,19,221,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2011,228.0,1947.0,105.0,982.0,8,8,0.5,312,348,-36,16,5192,993,5.2,32,9,286,307,550,3567,21,23,5.9,175,389,1625,12,4.2,83,26.1,15.6,-98.26,0.0,6.485454545454545,4.177377892030848,33,258,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,202.0,1667.0,102.0,857.0,5,11,0.313,250,357,-107,16,4209,1018,4.1,34,13,246,337,608,3005,11,21,4.5,168,352,1204,10,3.4,58,22.0,14.8,-297.04,0.0,4.942434210526316,3.4204545454545454,21,226,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
