Team,Year,Accepted_Penalty_Count,Penalty_Yards,Team_Penalty_Count,Team_Penalty_Yards
Arizona Cardinals,2009,212,1726,108,886
Arizona Cardinals,2010,216,1764,108,870
Arizona Cardinals,2011,228,1947,105,982
Arizona Cardinals,2012,202,1667,102,857
Arizona Cardinals,2013,207,1704,96,744
Arizona Cardinals,2014,221,1899,91,707
Arizona Cardinals,2015,224,1965,94,763
Arizona Cardinals,2016,227,1899,104,889
Arizona Cardinals,2017,240,2008,111,880
Arizona Cardinals,2018,201,1576,101,786
Arizona Cardinals,2019,235,1997,121,956
Arizona Cardinals,2020,217,1719,113,878
Arizona Cardinals,2021,204,1810,108,944
Arizona Cardinals,2022,203,1613,111,866
Atlanta Falcons,2009,188,1557,78,664
Atlanta Falcons,2010,174,1601,58,598
Atlanta Falcons,2011,194,1612,94,784
Atlanta Falcons,2012,138,1056,55,415
Atlanta Falcons,2013,195,1673,91,788
Atlanta Falcons,2014,188,1584,97,840
Atlanta Falcons,2015,195,1697,100,969
Atlanta Falcons,2016,217,1822,104,848
Atlanta Falcons,2017,205,1798,102,918
Atlanta Falcons,2018,209,1900,101,899
Atlanta Falcons,2019,246,2036,119,956
Atlanta Falcons,2020,174,1536,83,736
Atlanta Falcons,2021,201,1623,87,707
Atlanta Falcons,2022,163,1350,66,576
Baltimore Ravens,2009,203,1835,115,1094
Baltimore Ravens,2010,206,1657,90,673
Baltimore Ravens,2011,194,1759,92,742
Baltimore Ravens,2012,228,2056,121,1127
Baltimore Ravens,2013,238,2138,112,942
Baltimore Ravens,2014,221,1877,111,870
Baltimore Ravens,2015,225,1901,122,1153
Baltimore Ravens,2016,219,2011,125,1111
Baltimore Ravens,2017,187,1556,91,749
Baltimore Ravens,2018,229,1957,116,940
Baltimore Ravens,2019,206,1662,109,867
Baltimore Ravens,2020,181,1607,104,961
Baltimore Ravens,2021,193,1682,101,843
Baltimore Ravens,2022,153,1271,77,656
Buffalo Bills,2009,214,1774,107,855
Buffalo Bills,2010,167,1267,82,633
Buffalo Bills,2011,170,1609,87,759
Buffalo Bills,2012,184,1564,99,840
Buffalo Bills,2013,218,1885,110,954
Buffalo Bills,2014,228,1871,124,1022
Buffalo Bills,2015,256,2155,143,1249
Buffalo Bills,2016,218,1844,112,960
Buffalo Bills,2017,195,1745,98,872
Buffalo Bills,2018,215,1968,116,992
Buffalo Bills,2019,211,1742,117,927
